index, start_date, end_date, sci_chan_file
0, 2019-06-15T00:00:00, none, ScienceEnergyChannels_1000.csv
1, 2023-01-30T00:04:35, 2023-02-02T16:06:12, ScienceEnergyChannels_20221216.csv
2, 2023-02-02T16:06:12, none, ScienceEnergyChannels_1000.csv
