# energy[keV]         #dN/dE [1/(keV cm^2 s])
0.0000000000000000   0.010039340922950615
1.102102558804873    0.010039340922950615
3.093070215771       0.010112110861053978
5.084087454798059    0.010180600214563027
7.0752038579470025   0.01024052839888344
9.066072350791252    0.01032185950617544
11.056940843635502   0.01040319061346744
13.047759754418806   0.010488802305353744
15.038529083141178   0.01057869458183438
17.02929841186355    0.010668586858315
19.019621502037467   0.01079700439614446
21.006424265884817   0.011229343440170343
22.89845587845521    0.012027244408550768
24.51558843101543    0.01310905515014917
25.770400899638773   0.014205776594751107
26.75368919386645    0.015295042687851268
27.6466224457114     0.016368613304105617
28.448691612681344   0.017470435778682454
29.159896694776293   0.01860051011158176
29.870556374200902   0.019777670875018547
30.580670650955213   0.021001918068992804
31.20133888977732    0.02213199240189211
31.866866498233108   0.02329738155769453
32.3522748748163     0.02438036946005637
32.97317036475104    0.0254908244468984
33.59347500179294    0.026652289733489365
34.21359783794473    0.02782945049692615
34.74554724239509    0.028802570061367225
35.53355021478197    0.030002152934583757
36.07710241175445    0.031090185811646043
36.788852896519714   0.03217317371400788
37.500739731952535   0.03324439000873536
38.30302705999061    0.034327377911097194
39.19541490916525    0.035448034957889014
40.17866684321491    0.036540440146358346
41.25256470107145    0.03762342804872019
42.507877122142574   0.038676986931996113
44.034421321177774   0.0397632447253675
45.83374880350058    0.04074825480257056
47.81643625629005    0.04153588236792463
49.80204905067488    0.04207095544221408
51.7898930378019     0.04241340220975932
53.780166545914895   0.0425461003321831
55.77386121623262    0.04238343811759911
57.77271242088787    0.0417755951052063
59.413382817326905   0.04082530532526825
60.51160563427963    0.039808238425658864
61.33851789288258    0.038765273989253872
61.98386560253658    0.037764687340332603
62.53835831736008    0.03679156777589153
63.09412363841433    0.035708579873529684
63.74156205830457    0.03452749524088145
64.20738138897883    0.03339349703877068
65.03580259496965    0.03222026014454535
65.86396927971434    0.031068996917904173
66.78155473225767    0.030014260873864824
67.78985882896394    0.028943829352979638
68.88875430921007    0.027868689189040703
70.07818663272901    0.026793549025101777
71.35793504129707    0.02573746765447564
72.63690430319325    0.024748652613188744
74.00651754102964    0.02375058845161769
75.46724224280936    0.02270291537215895
76.92769424325392    0.02167878550796895
78.38794171769712    0.0206723130552305
79.93840030881836    0.019693961665174156
81.57933514291571    0.018720842100733082
83.40182846593233    0.017705867931369808
85.40563787668141    0.016669966459545442
87.40880272063829    0.015689712587447175
89.41102550543737    0.0147907898226409
91.41270288756608    0.013938953488372103
93.41363653878075    0.013151325923018033
95.41407436938603    0.01240650420360712
97.41391721526004    0.011713049499328
99.41341298670751    0.011049558887209088
101.41236335548469   0.010433154705627636
103.41086748571338   0.009855275785395037
105.40912370563738   0.009298799788134016
107.40718159731766   0.00875944612925025
109.40474366838855   0.008262898316309641
111.40195866503284   0.007796314595529248
113.39902491549434   0.007342572628531796
115.3957440915293    0.006918794753694559
117.39211619313762   0.00652498097101752
119.38853787680695   0.006126886603746167
121.38456290398877   0.005763036913229342
123.38038960292683   0.005416309561089783
125.37606755568204   0.005082423962733174
127.37129926988884   0.0047870636257253985
129.36667973027846   0.004478861534934673
131.3617626983024    0.0041963429517098483
133.35669692014358   0.0039266661222679566
135.35138323168007   0.003678392215797661
137.3459703790947    0.0034386794785159935
139.3404087803264    0.003211808495017259
141.3346984353754    0.0029977792653014923
143.32878976218063   0.002800872373962964
145.32288108898587   0.002603965482624453
147.31677408754734   0.0024241809296631978
149.31056792198694   0.0022529575458905704
151.30441133848745   0.002077453577523638
153.29785809850046   0.001936194285911217
155.29135444057442   0.0017906544097044907
157.28450370822185   0.0016750786256579708
159.2777521399911    0.001550941672422823
161.27090140763852   0.0014353658883763032
163.263951511164     0.001328351273518411
165.25705119675047   0.0012170560740661962
167.2497046437885    0.0011442861359628331
169.24240767288745   0.001067235613265165
171.2351107019864    0.0009901850905674792
173.22776414902444   0.0009174151524641161
175.2201201036968    0.0008703287219266365
177.21257522249107   0.000814681122200529
179.2048815951025    0.0007718752762573722
181.1972375497749    0.0007247888457199103
183.18914726589884   0.0007162276765312825
185.18150322057124   0.0006691412459938029
187.17341293669517   0.000660580076805175
189.16576889136758   0.0006134936462677132
191.15757944336968   0.0006134936462677132
193.14938999537173   0.0006134936462677132
195.14120054737378   0.0006134936462677132
197.1330110993759    0.0006134936462677132
199.12432583076856   0.00065629949221087
200.30125521125427   0.000660580076805175
