# energy[keV]         #dN/dE [1/(keV cm^2 s])
0.000000000000000000  0.0019135311305566146
0.033829790763903134  0.0019135311305566146
1.164452630776772     0.002018533926530412
2.6193927233972687    0.0021274599038922423
4.236497115575844     0.0022382320842602044
5.854146140162669     0.0023379270465913706
7.633853563561523     0.0024416221154358246
9.576186711197657     0.002537778522005236
11.680429132105452    0.0026409680828837247
14.109201957887805    0.0027437455448769163
16.86237236235388     0.0028488124451217607
19.940178352027324    0.0029513279953789625
23.342977685759642    0.003044015778118671
26.90850451847222     0.0031270949133946424
30.474815291772423    0.003194229568163105
34.04178622556747     0.0032479372919778744
37.60943794987286     0.0032877984932466486
41.177667314611234    0.0033159111299309423
44.74649494979807     0.003331855610438452
48.31594148544884     0.0033352123431768747
51.88584188143981     0.0033293380608846344
55.45636117789473     0.0033108760308233074
59.02778819503005     0.0032739519707006533
62.5998960026757      0.0032231813880320035
66.17262271078528     0.003159823057594268
69.74574138918868     0.0030884924869027768
73.3191282577931      0.003011707225511348
76.89278331659858     0.0029294672734199822
80.46658278551229     0.002844290180182496
84.04038225442599     0.0027591130869450095
87.61424361338612     0.002672677218930615
91.18816686239262     0.002584982576139311
94.76190444125993     0.0025010642576787337
98.33560076009633     0.0024179851224027616
101.90915266882448    0.00233784312827291
105.48258079745986    0.0022602186836968756
109.05582325595603    0.0021863705634515675
112.62896256437489    0.0021146204011677737
116.20185431260816    0.0020479053379916143
119.77464291076413    0.0019832882327769697
123.34714268870363    0.0019245454098545654
126.9195186865503     0.0018683201364859785
130.49166775422688    0.0018167103706327229
134.06371367182612    0.001767198562740982
137.6354501391934     0.0017239806287337846
141.20702156643702    0.0016841194274650104
144.7784279535569     0.001647614958934659
148.3496899305685     0.0016140476315504282
151.92072497741       0.0015850958116815288
155.4915330940814     0.0015607594993279615
159.0622380606755     0.001538521144935908
162.63273672711495    0.0015204787064668841
166.203173503508      0.0015036950427747687
169.77348649980823    0.0014894289286364703
173.34365508600024    0.001478099955644292
176.91386493222322    0.0014659317994675084
180.4839303683379     0.001456700784436845
184.0538720243598     0.0014499873189599993
187.62375179033532    0.0014445326282600613
191.19350777621804    0.0014415954871139411
194.76334628216264    0.0014369799795986094
198.0084729291482     0.0014364671454302393
200.0000000000000     0.0014364671454302393
